Date,Open,High,Low,Close,Volume
2013-08-08,48.486,48.762,47.833,47.833,537
2013-08-09,48.029,48.432,47.967,47.967,407
2013-08-12,48.279,48.314,48.279,48.314,35
2013-08-13,48.996,48.996,48.314,48.466,65
2013-08-14,48.897,48.897,48.548,48.548,113
2013-08-16,48.279,48.279,47.707,47.707,252
2013-08-19,48.788,48.788,47.645,47.787,554
2013-08-20,50.069,50.069,47.207,47.207,267
2013-08-21,47.207,47.385,47.207,47.385,265
2013-08-22,49.584,49.584,47.324,47.778,362
2013-08-26,47.778,47.778,47.778,47.778,16
2013-08-27,47.87,47.87,47.295,47.477,85
2013-08-28,47.43,47.43,47.43,47.43,24
2013-08-29,46.741,47.967,46.741,47.707,1152
2013-08-30,48.199,48.199,48.199,48.199,253
2013-09-02,48.504,48.504,48.012,48.012,30
2013-09-03,48.504,48.817,48.504,48.817,87
2013-09-04,49.574,49.574,48.441,48.449,194
2013-09-05,49.039,49.505,49.039,49.505,2375
2013-09-06,49.524,49.541,48.861,48.861,56037
2013-09-09,49.282,49.558,49.085,49.085,42028
2013-09-10,49.514,49.514,48.915,48.915,36240
2013-09-11,49.558,49.558,48.558,48.558,63602
2013-09-12,48.808,48.808,48.745,48.745,111
2013-09-13,48.817,48.817,48.236,48.334,161
2013-09-16,48.772,48.977,48.726,48.726,279
2013-09-17,48.861,49.014,48.548,49.014,262
2013-09-18,49.014,49.014,48.868,48.868,224
2013-09-19,48.279,48.726,48.279,48.682,327
2013-09-20,48.191,48.852,48.191,48.852,282
2013-09-23,49.558,49.558,48.726,48.726,337
2013-09-24,48.279,48.682,48.279,48.682,59
2013-09-25,48.682,48.682,48.279,48.279,424
2013-09-26,48.075,48.61,48.075,48.61,38
2013-09-27,49.558,49.558,48.012,48.012,126
2013-09-30,49.558,49.558,47.833,47.833,191
2013-10-01,48.055,48.173,48.055,48.173,42
2013-10-02,48.279,48.279,47.43,47.43,869
2013-10-03,47.385,47.385,47.295,47.295,2205
2013-10-04,47.207,47.207,47.207,47.207,38
2013-10-07,48.261,48.261,46.947,47.233,5704
2013-10-08,46.939,46.939,46.939,46.939,39
2013-10-09,47.42,47.42,46.76,46.982,5955
